censored_words,language
arse,en
arsehole,en
as useful as tits on a bull,en
balls,en
bastard,en
beaver,en
beef curtains,en
bellend,en
bent,en
berk,en
bint,en
bitch,en
blighter,en
blimey,en
blimey o'reilly,en
bloodclaat,en
bloody,en
bloody hell,en
blooming,en
bollocks,en
bonk,en
bugger,en
bugger me,en
bugger off,en
built like a brick shit-house,en
bukkake,en
bullshit,en
cack,en
cad,en
chav,en
cheese eating surrender monkey,en
choad,en
chuffer,en
clunge,en
cobblers,en
cock,en
cock cheese,en
cock jockey,en
cock-up,en
cocksucker,en
cockwomble,en
codger,en
cor blimey,en
corey,en
crap,en
crikey,en
cunt,en
daft,en
daft cow,en
damn,en
dick,en
dickhead,en
did he bollocks!,en
did i fuck as like!,en
dildo,en
dodgy,en
duffer,en
fanny,en
feck,en
flaps,en
fuck,en
fuck me sideways!,en
fucking cunt,en
fucktard,en
gash,en
ginger,en
git,en
gob shite,en
goddam,en
gorblimey,en
gordon bennett,en
gormless,en
he’s a knob,en
hell,en
hobknocker,en
I'd rather snort my own cum,en
jesus christ,en
jizz,en
knob,en
knobber,en
knobend,en
knobhead,en
ligger,en
like fucking a dying man's handshake,en
mad as a hatter,en
manky,en
minge,en
minger,en
minging,en
motherfucker,en
munter,en
muppet,en
naff,en
nitwit,en
nonce,en
numpty,en
nutter,en
off their rocker,en
penguin,en
pillock,en
pish,en
piss off,en
piss-flaps,en
pissed,en
pissed off,en
play the five-fingered flute,en
plonker,en
ponce,en
poof,en
pouf,en
poxy,en
prat,en
prick,en
prick,en
prickteaser,en
punani,en
punny,en
pussy,en
randy,en
rapey,en
rat arsed,en
rotter,en
rubbish,en
scrubber,en
shag,en
sex,en
shit,en
shite,en
shitfaced,en
skank,en
slag,en
slapper,en
slut,en
snatch,en
sod,en
sod-off,en
son of a bitch,en
spunk,en
stick it up your arse!,en
swine,en
taking the piss,en
tits,en
toff,en
tosser,en
trollop,en
tuss,en
twat,en
twonk,en
u fukin wanker,en
wally,en
wanker,en
wankstain,en
wazzack,en
69,en
doggystyle,en
blowjob,en
abruti,fr
aller se faire foutre,fr
"allez, va t’en",fr
amène ta mère pourque je te refasse,fr
avale mes couilles,fr
bachie coupe,fr
baise,fr
baise moi mor,fr
baise toi,fr
baiser,fr
bander,fr
batard,fr
bigornette,fr
bique,fr
bise,fr
bite,fr
bitte,fr
bloblos,fr
bon sang,fr
bordel,fr
bordel de merde,fr
bosser,fr
bourré,fr
bourrée,fr
brackmard,fr
branlage,fr
branler,fr
branlette,fr
branleur,fr
branleur de chiens morts,fr
branleuse,fr
brouter le cresson,fr
broutte-minou,fr
brûle en enfer,fr
brûle en l'enfer,fr
c'est des conneries,fr
c’est chiant,fr
c’est des conneries,fr
c’est le bordel ici,fr
c’est naze,fr
c’est quoi ce bordel,fr
c’est vraiment de ta faute,fr
ça casse les couilles,fr
ça craint,fr
ça fait shier,fr
ça m'emmerde,fr
ça me casse les couilles,fr
ça me fait chier,fr
ça me saoûle,fr
ça pue,fr
ça schlingue,fr
caca,fr
cailler,fr
calice,fr
calisse,fr
casse-couille,fr
casse-couilles,fr
casse-toi,fr
"casse-toi, idiot",fr
"casse-toi, idiote",fr
casser les couilles,fr
cave,fr
ce putain d’embouteillage,fr
ce putain d’ordinateur,fr
cela me soûle,fr
charogne,fr
chatte,fr
chiant,fr
chiante,fr
chiasse,fr
chien sale,fr
chienne,fr
chier,fr
chieur,fr
chieuse,fr
chiottes,fr
choleque de merde,fr
clito,fr
clitoris,fr
con,fr
conasse,fr
connard,fr
connasse,fr
conne,fr
connerie,fr
conneries,fr
couille,fr
couilles,fr
couillon,fr
couillonne,fr
cramouille,fr
crétin,fr
crève la gueule ouverte,fr
criss,fr
crisse,fr
crosseur,fr
cul,fr
debile,fr
déconne,fr
déconner,fr
dégage,fr
dégénéré,fr
dégueulasse,fr
dinde,fr
drague,fr
emmerdant,fr
emmerder,fr
emmerdeur,fr
emmerdeuse,fr
enculé,fr
enculé de ta mère,fr
enculé toi salaud,fr
enculée,fr
enculer,fr
enculer les mouches,fr
enculer une mouche,fr
enculeur,fr
enculeurs,fr
enfoiré,fr
enfoirée,fr
étron,fr
face de cul,fr
faire enculer,fr
faire foutre,fr
fais chier,fr
fait moi jouir,fr
ferme ta gueule,fr
fiche moi le paix,fr
fif,fr
fille de pute,fr
film de cul,fr
fils de pute,fr
fils de salope,fr
folle,fr
fous le camps,fr
fous le camps et morte,fr
foutre,fr
foutre la merde,fr
foutre le bordel,fr
framble,fr
fucker,fr
garage à bite,fr
garce,fr
gerbe,fr
gerber,fr
gouine,fr
graine,fr
grande folle,fr
grogniasse,fr
gros tas,fr
gross cul,fr
guenon,fr
gueule,fr
idiot,fr
idiote,fr
il est stupide,fr
"il fait chaud ici, enculé",fr
il me fait chier,fr
imbécile,fr
j'en ai marre,fr
j'en ai plus rien à foutre,fr
